"id","run_key","cohort","season_id","source","population_size","calculated_at","expires_at","notes","position_scope_fine","position_scope_parent"
"60","metrics_all_20251109052449:combine_agility","current_nba",,"combine_agility","641","2025-11-09 05:24:50.168548",,,,"big"
"45","metrics_all_20251109052134:combine_agility","all_time_nba",,"combine_agility","641","2025-11-09 05:21:35.268266",,,,"big"
"54","metrics_all_20251109052403:combine_agility","current_nba",,"combine_agility","842","2025-11-09 05:24:04.746585",,,,"forward"
"42","metrics_all_20251109052122:combine_agility","all_time_nba",,"combine_agility","842","2025-11-09 05:21:23.991829",,,,"forward"
"63","metrics_2000-01_20251109055025__guard:combine_agility","current_draft","1","combine_agility","30","2025-11-09 05:50:27.274348",,,,"guard"
"39","metrics_all_20251109052110:combine_agility","all_time_nba",,"combine_agility","448","2025-11-09 05:21:11.157205",,,,"wing"
"51","metrics_all_20251109052354:combine_agility","current_nba",,"combine_agility","448","2025-11-09 05:23:55.189136",,,,"wing"
"36","metrics_all_20251109052058:combine_agility","all_time_nba",,"combine_agility","703","2025-11-09 05:20:59.593897",,,,"guard"
"57","metrics_all_20251109052428:combine_agility","current_nba",,"combine_agility","842","2025-11-09 05:24:29.365146",,,,"forward"
"33","metrics_all_20251109051959:combine_agility","all_time_nba",,"combine_agility","1538","2025-11-09 05:20:01.311255",,,,
"48","metrics_all_20251109052344:combine_agility","current_nba",,"combine_agility","703","2025-11-09 05:23:45.867984",,,,"guard"
"30","metrics_all_20251109051936:combine_agility","current_nba",,"combine_agility","1538","2025-11-09 05:19:38.830469",,,,
"47","metrics_all_20251109052344:combine_anthro","current_nba",,"combine_anthro","775","2025-11-09 05:23:45.635942",,,,"guard"
"62","metrics_2000-01_20251109055025__guard:combine_anthro","current_draft","1","combine_anthro","31","2025-11-09 05:50:27.178077",,,,"guard"
"59","metrics_all_20251109052449:combine_anthro","current_nba",,"combine_anthro","700","2025-11-09 05:24:49.962805",,,,"big"
"56","metrics_all_20251109052428:combine_anthro","current_nba",,"combine_anthro","907","2025-11-09 05:24:29.102829",,,,"forward"
"53","metrics_all_20251109052403:combine_anthro","current_nba",,"combine_anthro","907","2025-11-09 05:24:04.480327",,,,"forward"
"50","metrics_all_20251109052354:combine_anthro","current_nba",,"combine_anthro","480","2025-11-09 05:23:55.021909",,,,"wing"
"29","metrics_all_20251109051936:combine_anthro","current_nba",,"combine_anthro","1684","2025-11-09 05:19:38.369376",,,,
"44","metrics_all_20251109052134:combine_anthro","all_time_nba",,"combine_anthro","700","2025-11-09 05:21:35.059149",,,,"big"
"41","metrics_all_20251109052122:combine_anthro","all_time_nba",,"combine_anthro","907","2025-11-09 05:21:23.740031",,,,"forward"
"38","metrics_all_20251109052110:combine_anthro","all_time_nba",,"combine_anthro","480","2025-11-09 05:21:10.988465",,,,"wing"
"35","metrics_all_20251109052058:combine_anthro","all_time_nba",,"combine_anthro","775","2025-11-09 05:20:59.362767",,,,"guard"
"32","metrics_all_20251109051959:combine_anthro","all_time_nba",,"combine_anthro","1684","2025-11-09 05:20:00.860361",,,,
"40","metrics_all_20251109052110:combine_shooting","all_time_nba",,"combine_shooting","63","2025-11-09 05:21:11.242304",,,,"wing"
"31","metrics_all_20251109051936:combine_shooting","current_nba",,"combine_shooting","268","2025-11-09 05:19:39.112758",,,,
"34","metrics_all_20251109051959:combine_shooting","all_time_nba",,"combine_shooting","268","2025-11-09 05:20:01.595427",,,,
"37","metrics_all_20251109052058:combine_shooting","all_time_nba",,"combine_shooting","83","2025-11-09 05:20:59.744423",,,,"guard"
"43","metrics_all_20251109052122:combine_shooting","all_time_nba",,"combine_shooting","110","2025-11-09 05:21:24.157532",,,,"forward"
"46","metrics_all_20251109052134:combine_shooting","all_time_nba",,"combine_shooting","85","2025-11-09 05:21:35.415261",,,,"big"
"49","metrics_all_20251109052344:combine_shooting","current_nba",,"combine_shooting","83","2025-11-09 05:23:46.011173",,,,"guard"
"52","metrics_all_20251109052354:combine_shooting","current_nba",,"combine_shooting","63","2025-11-09 05:23:55.274363",,,,"wing"
"55","metrics_all_20251109052403:combine_shooting","current_nba",,"combine_shooting","110","2025-11-09 05:24:04.916751",,,,"forward"
"58","metrics_all_20251109052428:combine_shooting","current_nba",,"combine_shooting","110","2025-11-09 05:24:29.540354",,,,"forward"
"61","metrics_all_20251109052449:combine_shooting","current_nba",,"combine_shooting","85","2025-11-09 05:24:50.30902",,,,"big"
"7","metrics_2018-19_20251023042708","current_draft","19","advanced_stats","69","2025-10-23 04:27:09.417671",,,,
"19","metrics_2007-08_20251023043350","current_draft","8","advanced_stats","76","2025-10-23 04:33:51.448027",,,,
"18","metrics_2008-09_20251023043343","current_draft","9","advanced_stats","76","2025-10-23 04:33:44.118861",,,,
"1","metrics_2024-25_20251023042413","current_draft","25","advanced_stats","83","2025-10-23 04:24:14.29221",,,,
"17","metrics_2009-10_20251023043333","current_draft","10","advanced_stats","46","2025-10-23 04:33:34.310687",,,,
"16","metrics_2010-11_20251023043324","current_draft","11","advanced_stats","52","2025-10-23 04:33:25.006591",,,,
"6","metrics_2019-20_20251023042700","current_draft","20","advanced_stats","70","2025-10-23 04:27:01.439393",,,,
"15","metrics_2011-12_20251023043316","current_draft","12","advanced_stats","54","2025-10-23 04:33:17.185692",,,,
"14","metrics_2012-13_20251023043310","current_draft","13","advanced_stats","61","2025-10-23 04:33:11.482501",,,,
"3","metrics_2022-23_20251023042634","current_draft","23","advanced_stats","70","2025-10-23 04:26:35.233731",,,,
"13","metrics_2013-14_20251023043304","current_draft","14","advanced_stats","63","2025-10-23 04:33:05.415267",,,,
"12","metrics_2014-15_20251023043258","current_draft","15","advanced_stats","56","2025-10-23 04:32:59.252946",,,,
"5","metrics_2020-21_20251023042651","current_draft","21","advanced_stats","45","2025-10-23 04:26:52.127071",,,,
"11","metrics_2015-16_20251023043251","current_draft","16","advanced_stats","58","2025-10-23 04:32:52.232664",,,,
"10","metrics_2016-17_20251023043244","current_draft","17","advanced_stats","56","2025-10-23 04:32:45.088743",,,,
"4","metrics_2021-22_20251023042641","current_draft","22","advanced_stats","66","2025-10-23 04:26:42.402714",,,,
"9","metrics_2017-18_20251023043237","current_draft","18","advanced_stats","63","2025-10-23 04:32:38.396803",,,,
"26","metrics_2000-01_20251023043433","current_draft","1","advanced_stats","65","2025-10-23 04:34:33.719913",,,,
"28","metrics_all_20251023045135","all_time_draft",,"advanced_stats","1706","2025-10-23 04:51:36.51398",,,,
"25","metrics_2001-02_20251023043426","current_draft","2","advanced_stats","78","2025-10-23 04:34:27.179714",,,,
"24","metrics_2002-03_20251023043420","current_draft","3","advanced_stats","82","2025-10-23 04:34:21.190104",,,,
"8","metrics_2017-18_20251023042716","current_draft","18","advanced_stats","63","2025-10-23 04:27:17.089156",,,,
"23","metrics_2003-04_20251023043415","current_draft","4","advanced_stats","78","2025-10-23 04:34:15.8011",,,,
"22","metrics_2004-05_20251023043409","current_draft","5","advanced_stats","81","2025-10-23 04:34:10.015987",,,,
"2","metrics_2023-24_20251023042627","current_draft","24","advanced_stats","77","2025-10-23 04:26:27.984605",,,,
"21","metrics_2005-06_20251023043403","current_draft","6","advanced_stats","81","2025-10-23 04:34:04.349163",,,,
"20","metrics_2006-07_20251023043357","current_draft","7","advanced_stats","76","2025-10-23 04:33:57.737631",,,,