source_rank,source_name,player_id,raw_affiliation,canonical_affiliation,status,source_url,cbb_slug,db_action,reason,season,games,ppg,rpg,apg,position,height_in,weight_lb,high_school,rsci_rank
1,AJ Dybantsa,5390,BYU,BYU,resolved,https://www.sports-reference.com/cbb/players/aj-dybantsa-1.html,aj-dybantsa-1,would_update,single candidate; school not confirmed,2025-26,35,25.5,6.8,3.7,Forward,81,210,Saint Sebastian's (MA); Prolific Prep (CA); Utah Prep (UT),1
2,Darryn Peterson,5466,Kansas,Kansas,resolved,https://www.sports-reference.com/cbb/players/darryn-peterson-1.html,darryn-peterson-1,would_update,,2025-26,24,20.2,4.2,1.6,Guard,77,205,Cuyahoga Valley Christian (OH); Huntington Prep (WV); Napa Christian (CA),2
3,Cameron Boozer,5653,Duke,Duke,resolved,https://www.sports-reference.com/cbb/players/cameron-boozer-3.html,cameron-boozer-3,would_update,,2025-26,38,22.5,10.2,4.1,Forward,81,250,Columbus (FL),3
4,Caleb Wilson,5469,North Carolina,UNC,resolved,https://www.sports-reference.com/cbb/players/caleb-wilson-1.html,caleb-wilson-1,would_update,single candidate; school not confirmed,2025-26,24,19.8,9.4,2.7,Forward,82,215,Holy Innocents Episcopal School (GA),5
5,Kingston Flemings,5708,Houston,Houston,resolved,https://www.sports-reference.com/cbb/players/kingston-flemings-1.html,kingston-flemings-1,would_update,,2025-26,37,16.1,4.1,5.2,Guard,76,190,Brennan (TX),15
6,Jayden Quaintance,5478,Kentucky,Kentucky,resolved,https://www.sports-reference.com/cbb/players/jayden-quaintance-1.html,jayden-quaintance-1,would_update,single candidate; school not confirmed,2025-26,4,5.0,5.0,0.5,Forward,81,225,Word Of God Christian (NC),8
7,Koa Peat,5513,Arizona,Arizona,resolved,https://www.sports-reference.com/cbb/players/koa-peat-1.html,koa-peat-1,would_update,,2025-26,36,14.1,5.6,2.6,Forward,80,235,Gilbert Perry (AZ),8
8,Yaxel Lendeborg,1691,Michigan,Michigan,resolved,https://www.sports-reference.com/cbb/players/yaxel-lendeborg-1.html,yaxel-lendeborg-1,would_update,single candidate; school not confirmed,2025-26,40,15.1,6.8,3.2,Forward,81,230,,
9,Hannes Steinbach,5456,Washington,Washington,resolved,https://www.sports-reference.com/cbb/players/hannes-steinbach-1.html,hannes-steinbach-1,would_update,,2025-26,30,18.5,11.8,1.6,Forward,83,220,Würzburg Baskets (Germany),
10,Mikel Brown Jr.,5389,Louisville,Louisville,resolved,https://www.sports-reference.com/cbb/players/mikel-brown-jr-1.html,mikel-brown-jr-1,would_update,,2025-26,21,18.2,3.3,4.7,Guard,77,190,Overtime Elite (GA); DME Academy (FL),7
11,Keaton Wagler,5690,Illinois,Illinois,resolved,https://www.sports-reference.com/cbb/players/keaton-wagler-1.html,keaton-wagler-1,would_update,,2025-26,37,17.9,5.1,4.2,Guard,78,185,Shawnee Mission Northwest (KS),
12,Thomas Haugh,5379,Florida,Florida,resolved,https://www.sports-reference.com/cbb/players/thomas-haugh-1.html,thomas-haugh-1,would_update,,2025-26,34,17.1,6.1,2.1,Forward,81,210,Perkiomen School (PA),
13,Labaron Philon,1709,Alabama,Alabama,resolved,https://www.sports-reference.com/cbb/players/labaron-philon-1.html,labaron-philon-1,would_update,,2025-26,33,22.0,3.5,5.0,Guard,76,177,Baker (AL); Link Academy (MO),32
14,Patrick Ngongba II,5502,Duke,Duke,resolved,https://www.sports-reference.com/cbb/players/patrick-ngongba-2.html,patrick-ngongba-2,would_update,,2025-26,32,10.1,5.8,2.0,Center,83,250,St. Paul VI (VA),24
15,Cameron Carr,5519,Baylor,Baylor,resolved,https://www.sports-reference.com/cbb/players/cameron-carr-2.html,cameron-carr-2,would_update,single candidate; school not confirmed,2025-26,34,18.9,5.8,2.6,Guard,77,175,Manhattan (KS); Link Academy (MO),55
16,Darius Acuff Jr.,5384,Arkansas,Arkansas,resolved,https://www.sports-reference.com/cbb/players/darius-acuff-jr-1.html,darius-acuff-jr-1,would_update,,2025-26,36,23.5,3.1,6.4,Guard,75,190,Cass Technical (MI); IMG Academy (FL),10
17,Braylon Mullins,5457,Connecticut,UConn,resolved,https://www.sports-reference.com/cbb/players/braylon-mullins-1.html,braylon-mullins-1,would_update,single candidate; school not confirmed,2025-26,33,12.0,3.5,1.4,Guard,78,196,Greenfield-Central (IN),14
18,Nate Ament,5561,Tennessee,Tennessee,resolved,https://www.sports-reference.com/cbb/players/nate-ament-1.html,nate-ament-1,would_update,,2025-26,35,16.7,6.3,2.3,Forward,82,207,Highland School (VA),4
19,Joshua Jefferson,5388,Iowa State,Iowa State,resolved,https://www.sports-reference.com/cbb/players/joshua-jefferson-1.html,joshua-jefferson-1,would_update,single candidate; school not confirmed,2025-26,35,16.4,7.4,4.8,Forward,80,220,,
20,Christian Anderson,5382,Texas Tech,Texas Tech,resolved,https://www.sports-reference.com/cbb/players/christian-anderson-2.html,christian-anderson-2,would_update,,2025-26,33,18.5,3.6,7.4,Guard,74,165,The Lovett School (GA); Oak Hill Academy (VA),
21,Benett Stirtz,5578,Iowa,Iowa,needs_review,,,,no CBB index candidate,,,,,,,,,,
22,Amari Allen,5383,Alabama,Alabama,resolved,https://www.sports-reference.com/cbb/players/amari-allen-1.html,amari-allen-1,would_update,,2025-26,32,11.4,6.9,3.1,Forward,79,205,IMG Academy (FL); Ashwaunenon (WI),69
23,Chris Cenac Jr.,5387,Houston,Houston,resolved,https://www.sports-reference.com/cbb/players/chris-cenac-jr-1.html,chris-cenac-jr-1,would_update,,2025-26,37,9.5,7.9,0.7,Center,83,240,Newman (LA); Link Academy (MO),6
24,Neoklis Avdalas,1660,Virginia Tech,Virginia Tech,resolved,https://www.sports-reference.com/cbb/players/neoklis-avdalas-1.html,neoklis-avdalas-1,would_update,,2025-26,31,12.1,3.1,4.6,Guard,81,215,AS Karditsas (Greece); Peristeri BC (Greece),
25,Tounde Yessoufou,5537,Baylor,Baylor,needs_review,,,,failed to fetch index https://www.sports-reference.com/cbb/players/y-index.html,,,,,,,,,,
26,Karim Lopez,5605,NZ Breakers,,skipped,,,,non-college affiliation; requires separate official/pro source,,,,,,,,,,
27,Tyler Tanner,5679,Vanderbilt,Vanderbilt,needs_review,,,,failed to fetch index https://www.sports-reference.com/cbb/players/t-index.html,,,,,,,,,,
28,Henri Veesaar,5609,North Carolina,UNC,needs_review,,,,failed to fetch index https://www.sports-reference.com/cbb/players/v-index.html,,,,,,,,,,
29,Dash Daniels,5639,Melbourne United,,skipped,,,,non-college affiliation; requires separate official/pro source,,,,,,,,,,
30,Killyan Toure,6063,Iowa State,Iowa State,needs_review,,,,failed to fetch index https://www.sports-reference.com/cbb/players/t-index.html,,,,,,,,,,
31,Dailyn Swain,5465,Texas,Texas,needs_review,,,,candidate pages did not parse,,,,,,,,,,
32,Aday Mara,5577,Michigan,Michigan,needs_review,,,,candidate pages did not parse,,,,,,,,,,
33,Brayden Burries,5597,Arizona,Arizona,needs_review,,,,candidate pages did not parse,,,,,,,,,,
34,Alex Karaban,1627,Connecticut,UConn,needs_review,,,,failed to fetch index https://www.sports-reference.com/cbb/players/k-index.html,,,,,,,,,,
35,Richie Saunders,5385,BYU,BYU,needs_review,,,,candidate pages did not parse,,,,,,,,,,
36,Isaiah Evans,5509,Duke,Duke,needs_review,,,,failed to fetch index https://www.sports-reference.com/cbb/players/e-index.html,,,,,,,,,,
37,Meleek Thomas,5647,Arkansas,Arkansas,needs_review,,,,failed to fetch index https://www.sports-reference.com/cbb/players/t-index.html,,,,,,,,,,
38,Braden Smith,5652,Purdue,Purdue,needs_review,,,,candidate pages did not parse,,,,,,,,,,
39,Ryan Conwell,5517,Louisville,Louisville,needs_review,,,,candidate pages did not parse,,,,,,,,,,
40,JoJo Tugler,6026,Houston,Houston,needs_review,,,,failed to fetch index https://www.sports-reference.com/cbb/players/t-index.html,,,,,,,,,,
41,Sergio De Larrea,5416,Valencia,,skipped,,,,non-college affiliation; requires separate official/pro source,,,,,,,,,,
42,Dame Sarr,5584,Duke,Duke,needs_review,,,,candidate pages did not parse,,,,,,,,,,
43,Tarris Reed Jr.,5483,Connecticut,UConn,needs_review,,,,failed to fetch index https://www.sports-reference.com/cbb/players/r-index.html,,,,,,,,,,
44,Alex Condon,1669,Florida,Florida,needs_review,,,,candidate pages did not parse,,,,,,,,,,
45,Tamin Lipsey,5493,Iowa State,Iowa State,needs_review,,,,candidate pages did not parse,,,,,,,,,,
46,Milan Momcilovic,5380,Iowa State,Iowa State,needs_review,,,,candidate pages did not parse,,,,,,,,,,
47,Milos Uzan,1726,Houston,Houston,needs_review,,,,failed to fetch index https://www.sports-reference.com/cbb/players/u-index.html,,,,,,,,,,
48,Johann Grunloh,5479,Virginia,Virginia,needs_review,,,,failed to fetch index https://www.sports-reference.com/cbb/players/g-index.html,,,,,,,,,,
49,Nate Bittle,5461,Oregon,Oregon,needs_review,,,,no CBB index candidate,,,,,,,,,,
50,Flory Bidunga,5625,Kansas,Kansas,needs_review,,,,candidate pages did not parse,,,,,,,,,,
51,Braden Huff,6064,Gonzaga,Gonzaga,needs_review,,,,candidate pages did not parse,,,,,,,,,,
52,Morez Johnson Jr.,5529,Michigan,Michigan,needs_review,,,,candidate pages did not parse,,,,,,,,,,
53,Bruce Thornton,5496,Ohio State,Ohio State,needs_review,,,,failed to fetch index https://www.sports-reference.com/cbb/players/t-index.html,,,,,,,,,,
54,Juke Harris,5386,Wake Forest,Wake Forest,needs_review,,,,candidate pages did not parse,,,,,,,,,,
55,Jaden Bradley,5381,Arizona,Arizona,needs_review,,,,candidate pages did not parse,,,,,,,,,,
56,Zuby Ejiofor,5528,St. John’s,St. John's,needs_review,,,,failed to fetch index https://www.sports-reference.com/cbb/players/e-index.html,,,,,,,,,,
57,Silas DeMary Jr.,5474,Connecticut,UConn,needs_review,,,,candidate pages did not parse,,,,,,,,,,
58,MoMo Faye,6065,Paris Basketball,,skipped,,,,non-college affiliation; requires separate official/pro source,,,,,,,,,,
59,Adam Atamna,6066,ASVEL,,skipped,,,,non-college affiliation; requires separate official/pro source,,,,,,,,,,
60,Tomislav Ivisic,5648,Illinois,Illinois,needs_review,,,,failed to fetch index https://www.sports-reference.com/cbb/players/i-index.html,,,,,,,,,,
61,Kwame Evans Jr.,5640,Oregon,Oregon,needs_review,,,,failed to fetch index https://www.sports-reference.com/cbb/players/e-index.html,,,,,,,,,,
62,Paul McNeil,5488,NC State,NC State,needs_review,,,,candidate pages did not parse,,,,,,,,,,
63,Pryce Sandfort,5782,Nebraska,Nebraska,needs_review,,,,candidate pages did not parse,,,,,,,,,,
64,Nolan Winter,6067,Wisconsin,Wisconsin,needs_review,,,,candidate pages did not parse,,,,,,,,,,
65,JT Toppin,1653,Texas Tech,Texas Tech,needs_review,,,,failed to fetch index https://www.sports-reference.com/cbb/players/t-index.html,,,,,,,,,,
66,D’Shayne Montgomery,6068,Dayton,Dayton,needs_review,,,,no CBB index candidate,,,,,,,,,,
67,Blue Cain,6069,Georgia,Georgia,needs_review,,,,candidate pages did not parse,,,,,,,,,,
68,Andrej Stojakovic,5632,Illinois,Illinois,needs_review,,,,candidate pages did not parse,,,,,,,,,,
69,Tahaad Pettiford,1708,Auburn,Auburn,needs_review,,,,candidate pages did not parse,,,,,,,,,,
70,K.J. Lewis,6070,Georgetown,Georgetown,needs_review,,,,candidate pages did not parse,,,,,,,,,,
71,Baba Miller,5400,Cincinnati,Cincinnati,needs_review,,,,candidate pages did not parse,,,,,,,,,,
72,Ja’Kobi Gillespie,5467,Tennessee,Tennessee,needs_review,,,,failed to fetch index https://www.sports-reference.com/cbb/players/g-index.html,,,,,,,,,,
73,Motiejus Krivas,5974,Arizona,Arizona,needs_review,,,,failed to fetch index https://www.sports-reference.com/cbb/players/k-index.html,,,,,,,,,,
74,Tyler Bilodeau,5468,UCLA,UCLA,needs_review,,,,candidate pages did not parse,,,,,,,,,,
75,Darrion Williams,1728,NC State,NC State,needs_review,,,,candidate pages did not parse,,,,,,,,,,
76,Nick Martinelli,5475,Northwestern,Northwestern,needs_review,,,,candidate pages did not parse,,,,,,,,,,
77,Cade Tyson,5518,Minnesota,Minnesota,needs_review,,,,failed to fetch index https://www.sports-reference.com/cbb/players/t-index.html,,,,,,,,,,
78,William Kyle,5798,Syracuse,Syracuse,needs_review,,,,failed to fetch index https://www.sports-reference.com/cbb/players/k-index.html,,,,,,,,,,
79,Keyshawn Hall,5421,Auburn,Auburn,needs_review,,,,candidate pages did not parse,,,,,,,,,,
80,Emanuel Sharp,5500,Houston,Houston,needs_review,,,,candidate pages did not parse,,,,,,,,,,
81,Nick Boyd,6071,Wisconsin,Wisconsin,needs_review,,,,candidate pages did not parse,,,,,,,,,,
82,Donovan Dent,5699,UCLA,UCLA,needs_review,,,,candidate pages did not parse,,,,,,,,,,
83,Maliq Brown,6058,Duke,Duke,needs_review,,,,candidate pages did not parse,,,,,,,,,,
84,Trey Kaufman-Renn,6072,Purdue,Purdue,needs_review,,,,failed to fetch index https://www.sports-reference.com/cbb/players/k-index.html,,,,,,,,,,
85,Tucker DeVries,5396,Indiana,Indiana,needs_review,,,,candidate pages did not parse,,,,,,,,,,
86,Joshua Dix,6073,Creighton,Creighton,needs_review,,,,no CBB index candidate,,,,,,,,,,
87,John Blackwell,5618,Wisconsin,Wisconsin,needs_review,,,,candidate pages did not parse,,,,,,,,,,
88,Otega Oweh,1704,Kentucky,Kentucky,needs_review,,,,failed to fetch index https://www.sports-reference.com/cbb/players/o-index.html,,,,,,,,,,
89,Elijah Mahi,6074,Santa Clara,Santa Clara,needs_review,,,,candidate pages did not parse,,,,,,,,,,
90,Lamar Wilkerson,6075,Indiana,Indiana,needs_review,,,,candidate pages did not parse,,,,,,,,,,
91,Kylan Boswell,5804,Illinois,Illinois,needs_review,,,,candidate pages did not parse,,,,,,,,,,
92,Dillon Mitchell,1562,St. John’s,St. John's,needs_review,,,,candidate pages did not parse,,,,,,,,,,
93,Ben Henshall,1683,Perth Wildcats,,skipped,,,,non-college affiliation; requires separate official/pro source,,,,,,,,,,
94,Trevon Brazile,1593,Arkansas,Arkansas,needs_review,,,,candidate pages did not parse,,,,,,,,,,
95,Michael Ruzic,1716,Joventut,,skipped,,,,non-college affiliation; requires separate official/pro source,,,,,,,,,,
96,Michael Ajayi,1590,Butler,Butler,needs_review,,,,candidate pages did not parse,,,,,,,,,,
97,Oscar Cluff,5715,Purdue,Purdue,needs_review,,,,candidate pages did not parse,,,,,,,,,,
98,Jordan Burks,6076,UCF,UCF,needs_review,,,,candidate pages did not parse,,,,,,,,,,
99,Fletcher Loyer,6077,Purdue,Purdue,needs_review,,,,candidate pages did not parse,,,,,,,,,,
100,Bryce Hopkins,5619,St. John’s,St. John's,needs_review,,,,candidate pages did not parse,,,,,,,,,,
